,year,incident,containment,start_date,end_date,cdf_burned,other_burned,total_burned,struct_dest,struct_dam,death_fire,death_civil
123,2001,AEU-12745,100%,8/25/01,9/22/01,NA,16761,NA,4,NA,NA,NA
124,2001,SHU-7984,100%,8/28/01,8/31/01,1680,NA,NA,33,0,0,0
125,2001,SHU-8086,100%,8/31/01,9/5/01,NA,1065,NA,NA,NA,NA,NA
126,2001,TCU-6632,100%,9/5/01,9/24/01,14280,NA,NA,1,1,0,0
127,2001,BTU- 10696,100%,9/6/01,9/12/01,8333,NA,NA,133,3,0,0
128,2001,KNF-3902,100%,9/14/01,10/10/01,NA,8500,NA,NA,NA,NA,NA
129,2001,BDU-8983,100%,10/12/01,10/15/01,NA,6544,NA,4,NA,NA,NA
130,2001,BTU-12700,100%,10/24/01,10/26/01,1711,NA,NA,0,0,0,0
131,2001,TCU-8044,100%,10/27/01,10/31/01,580,NA,580,0,0,0,0
132,2001,MMU-18913,100%,11/2/01,11/2/01,NA,330,330,0,0,0,0
133,2001,MVU-8827,100%,12/8/01,12/11/01,1204,NA,NA,5,0,0,2
134,2002,HUU-3893,100%,8/14/02,8/18/02,NA,410,410,0,0,NA,NA
135,2002,SLU-4854,100%,8/17/02,8/19/02,NA,715,715,NA,NA,NA,NA
136,2002,AEU-12859,100%,8/19/02,8/21/02,NA,384,384,NA,NA,NA,NA
137,2002,MVU-6486,100%,8/24/02,8/25/02,NA,850,850,0,0,0,0
138,2002,BDU-8188,100%,8/29/02,9/4/02,NA,554,554,NA,NA,NA,NA
139,2002,AEU-13579,100%,8/31/02,8/31/02,775,NA,775,1,1,NA,NA
140,2002,BDU-8451,100%,9/1/02,9/5/03,NA,20857,NA,73,NA,NA,NA
141,2002,BDU-8584,100%,9/1/02,9/3/02,NA,1043,NA,NA,NA,NA,NA
142,2002,SHU-8454,100%,9/3/02,9/3/02,625,NA,625,1,0,0,0
143,2002,BDU-8585,100%,9/3/02,9/6/02,NA,5124,NA,16,NA,NA,NA
144,2002,BDU-8607,100%,9/9/02,9/11/02,NA,1200,NA,NA,NA,NA,NA
145,2002,BDU-8776,100%,9/14/02,9/14/02,NA,1305,NA,NA,NA,NA,NA
146,2002,MEU-7499,100%,9/19/02,9/20/02,485,NA,485,0,0,0,0
147,2002,BDU-9244,100%,9/22/02,10/7/02,NA,38094,NA,77,NA,NA,NA
148,2002,SCU-4160,100%,9/23/02,9/28/02,3127,NA,NA,34,4,0,0
149,2002,BDU-9108,100%,9/24/02,9/24/02,NA,391,391,NA,NA,NA,NA
150,2002,LMU-3269,100%,9/26/02,9/30/02,NA,2006,NA,NA,NA,NA,NA
151,2002,TGU-6124,100%,10/1/02,10/1/02,300,NA,300,0,0,0,0
152,2002,LNU-8020,100%,10/1/02,10/2/02,1500,NA,NA,0,0,0,0
153,2002,TCU-9171,100%,11/25/02,11/30/02,635,NA,635,0,0,0,0
154,2002,SNF-1576,100%,11/25/02,11/27/02,NA,415,415,NA,NA,NA,NA
155,2002,AEU-18819,100%,11/26/02,11/28/02,NA,1765,NA,NA,NA,NA,NA
156,2002,NEU-14547,100%,9/18/03,9/18/03,NA,594,594,21,NA,NA,NA
157,2002,MEU-9436,100%,11/26/03,11/28/03,1200,NA,NA,7,0,0,0
158,2002,RRU-10403,100%,2/9/02,2/13/02,17,2383,NA,0,0,0,0
159,2002,MVU-1024,100%,2/10/02,2/15/02,5763,NA,NA,43,13,0,0
160,2002,BDU-1909,100%,3/5/02,3/5/02,NA,300,300,NA,NA,NA,NA
161,2002,MMU-4085,100%,3/16/02,3/16/02,NA,12000,NA,0,0,0,0
162,2002,RRU-20299,100%,3/17/02,3/17/02,575,NA,575,0,0,0,0
163,2002,MVU-2043,100%,3/21/02,3/22/02,NA,2400,NA,NA,NA,NA,NA
164,2002,BDU-2403,100%,3/22/02,3/24/02,846,NA,846,0,0,0,0
165,2002,MVU-2592,100%,4/13/02,4/14/02,195,155,350,0,0,0,0
166,2002,RRU-29527,100%,4/21/02,4/23/02,NA,657,657,0,0,0,0
167,2002,HUU-26808,100%,4/28/02,4/28/02,300,NA,300,0,0,0,0
168,2002,MMU-7167,100%,5/7/02,5/7/02,320,NA,320,0,0,0,0
169,2002,FKU-5607,100%,5/9/02,5/10/02,680,NA,680,NA,NA,NA,NA
170,2002,ANF-1534,100%,5/11/02,5/13/02,NA,4977,NA,2,NA,NA,NA
171,2002,CNF-795,100%,5/13/02,5/13/02,NA,1500,NA,NA,NA,NA,NA
172,2002,RRU-35797,100%,5/13/02,5/15/02,338,1134,NA,0,0,0,0
173,2002,BDU-4432,100%,5/23/02,5/23/02,NA,356,356,NA,NA,NA,NA
