system:index,AGENCY,ALARM_DATE,CAUSE,COMPLEXNM,CONT_DATE,FIRE_NAME,GIS_ACRES,INCOMPLEX,MAPMETHOD,YEAR,YEARn,histogram,.geo
0000c54b0f0f3ddb4983,CDF,1.50745E+12,14,,1.50952E+12,ATLAS,51624.65625,,,2017,48,"31=284.5764705882353, 11=1158.0235294117651, 95=473.05882352941177, 52=112230.79607843132, 71=32446.203921568744, 24=24.0, 90=534.8235294117646, 22=1027.4549019607844, 82=1175.8941176470585, 23=129.98039215686273, 42=20001.00784313726, 41=12877.47450980392, 43=45287.631372549135, 21=4477.45882352941",
00005b6cf2acb0021fb0,USF,1.21403E+12,1,,1.21714E+12,BASIN COMPLEX,163606.6875,,,2008,39,"71=9302.03137254902, 90=2232.7294117647057, 95=1.219607843137255, 23=2.7137254901960786, 41=75.0, 22=61.27843137254902, 31=476.52941176470586, 21=4322.372549019605, 42=361681.9490196075, 43=124692.73725490177, 11=470.65098039215684, 52=232337.8039215682",
0000122d0d172e48043f,CDF,1.46917E+12,4,,1.47634E+12,SOBERANES,132104.2813,,,2016,47,"71=7714.890196078427, 90=1087.4470588235297, 22=7.262745098039216, 31=444.0, 95=0.17254901960784313, 41=57.47450980392156, 21=2614.4352941176467, 42=343840.1450980367, 43=81690.59607843125, 11=393.0156862745098, 52=156149.3254901954",
0000496096ec1bc531bd,CDF,1.25015E+12,9,,1.25075E+12,CORRAL,12242.76074,,,2009,40,"71=32150.160784313837, 90=30.0, 21=31.941176470588232, 43=5843.623529411762, 52=16951.321568627478, 11=26.0, 95=5.525490196078431, 31=9.992156862745098",
0000bc5b152c9469fc5e,CDF,1.44187E+12,14,,1.44342E+12,BUTTE,70846.53125,,,2015,46,"71=26507.078431372684, 23=5.0, 21=3528.678431372549, 43=17421.3568627451, 42=189395.2196078424, 41=7142.152941176468, 22=90.13333333333334, 95=191.0, 11=434.1450980392156, 52=73838.23529411756",
000011588e128bde7337,CDF,9.99673E+11,14,,1.00131E+12,DARBY,14280.47754,,,2001,32,"71=1346.0392156862742, 43=248.0, 42=30918.180392156923, 41=177.94901960784313, 11=4.254901960784314, 95=17.68235294117647, 52=31500.552941176556",
0000b8fb3098b6d79211,USF,1.37672E+12,4,,1.3826E+12,RIM,256175.5313,,,2013,44,"52=351708.74901960714, 11=1848.180392156863, 95=224.7058823529412, 31=1197.6588235294116, 71=42055.623529411794, 24=4.341176470588235, 90=69.0, 82=72.0, 43=2345.364705882353, 42=744811.7921568609, 23=0.17254901960784313, 41=3786.752941176471, 22=42.25490196078431, 21=3728.992156862744",
0000ef771e4678bba551,CDF,9.98118E+11,7,,9.98636E+11,CREEK FIRE,11095.11914,,,2001,32,"71=3990.5803921568595, 82=208.65490196078431, 43=864.0862745098038, 41=3385.658823529412, 42=7154.898039215687, 22=85.0, 21=783.3490196078433, 52=33413.56470588243",
0000c709a9997cc58094,CDF,1.50019E+12,9,,1.50416E+12,DETWILER,81826.27344,,,2017,48,"71=113495.40392156862, 23=34.0, 22=640.2078431372548, 21=5326.870588235294, 42=38090.61568627457, 41=33003.09019607846, 43=614.650980392157, 11=3217.5450980392156, 52=173500.8039215681",
0000e406be2f3e574780,CDF,1.06197E+12,1,,1.06387E+12,ANNIE,18210.40039,,,2003,34,"71=16416.847058823576, 90=9.325490196078434, 11=26.0, 43=22599.345098039248, 21=396.16078431372546, 95=2.4352941176470586, 52=42428.223529411785",
0000ea004d44f40d8356,CDF,1.15243E+12,14,,1.15442E+12,CANYON,34217.51563,,,2006,37,"71=10813.654901960805, 90=116.80000000000004, 21=326.6980392156862, 43=34510.341176470596, 42=39.0, 52=108013.15686274462, 11=26.0, 31=10.0",
0000df3e72d29248e6d9,CDF,1.1888E+12,5,,1.18984E+12,LICK,47748.27344,,,2007,38,"71=15687.149019607878, 90=281.7686274509804, 31=6.0, 22=0.6078431372549019, 82=2.1333333333333333, 21=1533.21568627451, 43=71657.15294117648, 42=423.34117647058827, 41=132.81176470588235, 11=253.0, 95=207.0901960784314, 52=124505.3843137253",
00009e213378e0d22225,USF,1.21291E+12,4,,1.21567E+12,INDIANS,76459.78125,,,2008,39,"71=19396.80392156876, 90=978.3372549019607, 21=4624.905882352938, 43=85086.52941176461, 42=80837.80784313718, 82=218.0, 23=0.1411764705882353, 41=11.325490196078432, 52=151837.47058823492, 95=266.078431372549, 11=169.1098039215686, 31=371.6627450980392",
00001f51f95482acb71b,USF,1.2225E+12,9,,1.22535E+12,CHALK,16265.77051,,,2008,39,"71=4632.999999999999, 24=9.929411764705883, 90=235.39607843137256, 22=31.21176470588235, 23=22.380392156862744, 21=944.7450980392157, 42=29073.55294117648, 43=9158.90588235294, 11=10.0, 52=29019.235294117643",
00002af0f3fadde5282a,CDF,1.47107E+12,10,,1.4734E+12,CHIMNEY,46233.91797,,,2016,47,"71=20375.643137254985, 90=697.2196078431373, 31=30.117647058823533, 41=24.345098039215685, 82=75.0, 11=1258.0588235294115, 95=761.7764705882355, 43=77027.50588235258, 42=31527.725490196106, 22=5.403921568627451, 21=3051.2901960784293, 52=73053.12549019579",
0000484c92cf4c42797c,CDF,1.15355E+12,1,,1.15398E+12,RICO,14509.4248,,,2006,37,"71=12511.09803921573, 90=0.8431372549019607, 95=12.447058823529412, 31=160.30980392156863, 42=63.0, 43=7441.674509803921, 21=1005.2117647058816, 52=44045.5803921568",
0000b4d307d0b91ad641,CDF,1.49509E+12,2,,1.49552E+12,ELM,11146.75488,,,2017,48,"71=29793.098039215736, 90=6.0, 22=7.670588235294118, 21=1348.411764705882, 23=11.294117647058824, 43=92.18039215686275, 52=15954.705882352964, 95=120.89803921568628, 31=2788.376470588236",
000017d3efd10e65c9c4,CDF,1.49958E+12,10,,1.50097E+12,GARZA,48886.66406,,,2017,48,"71=42071.63137254913, 90=18.0, 11=12.0, 82=16.0, 95=37.352941176470594, 23=20.0, 22=4.352941176470589, 52=140917.73333333322, 42=1278.0, 43=33066.58431372551, 21=1571.4117647058824, 31=802.3411764705884",
