system:index,AGENCY,ALARM_DATE,CAUSE,COMPLEXNM,CONT_DATE,FIRE_NAME,GIS_ACRES,INCOMPLEX,MAPMETHOD,YEAR,YEARn,histogram,.geo
000054d6f2104f2ebf70,CCO,1.28039E+12,2,,1.28073E+12,CROWN,12582.27539,,,2010,41,"3=826.1137254901959, 2=4225.8313725490225, 7=7515.152941176462, 6=35.0, 4=69.27843137254902, 5=4231.521568627451, 8=38103.760784313665, 9=281.28235294117667, 10=23.08235294117646",
0000dbc776b2c383b8bf,CCO,1.19295E+12,8,,1.19295E+12,BUCKWEED,38347.47266,,,2007,38,"3=110.921568627451, 7=11954.839215686283, 6=1992.6549019607844, 5=226.7450980392157, 8=152536.08627450932, 9=3585.2392156862743, 10=228.0",
0000b8a33e5603c45a9b,CCO,1.02326E+12,2,,1.02387E+12,COPPER FIRE,19101.64453,,,2002,33,"3=92.56078431372552, 7=6479.211764705883, 6=1313.9490196078436, 5=103.03529411764707, 8=76824.93333333291, 9=660.8431372549019, 10=13.172549019607843",
00001a3d12cb9481eeb7,USF,1.3699E+12,9,,1.38735E+12,POWERHOUSE,30267.69141,,,2013,44,"1=939.0627450980392, 3=1587.486274509803, 2=29.0, 7=16252.768627451016, 6=4239.4, 4=24.0, 5=3753.713725490196, 8=104555.93333333328, 9=2123.690196078431, 11=37.0, 10=1323.7882352941176",
000054d48bd7909eb8c6,USF,1.19286E+12,2,,1.19511E+12,RANCH,58410.33594,,,2007,38,"1=364.52549019607835, 3=161.32549019607845, 7=26047.929411764784, 6=21789.317647058873, 5=3838.7960784313714, 8=205926.28235293974, 9=1306.9882352941174, 11=5.623529411764706, 10=197.54509803921587",
0000ad654267d61ff243,CCO,1.06707E+12,14,,,SIMI FIRE,107570.3984,,,2003,34,"1=1712.486274509804, 3=149.35686274509803, 7=80513.20392156855, 6=52419.549019607904, 5=18.011764705882353, 8=311419.117647058, 9=9955.772549019606, 11=1077.0509803921566, 10=365.1960784313726",
000071f445140bfd0b19,CCO,1.22388E+12,0,,,SESNON,14701.30762,,,2008,39,"1=140.93725490196078, 7=9740.043137254948, 9=1351.1098039215678, 8=45353.06274509784, 6=7922.698039215687",
0000ed591870ab033da7,CCO,1.12789E+12,14,,1.12893E+12,TOPANGA,23396.39063,,,2005,36,"7=21138.282352941245, 9=4565.788235294103, 8=68309.5215686268, 6=9262.635294117668, 11=28.0, 10=15.0",
0000eeb4efe8816d7942,USF,1.22665E+12,14,,1.22846E+12,SAYRE,11260.1875,,,2008,39,"1=378.11764705882365, 3=29.247058823529414, 7=1392.53725490196, 6=4577.239215686273, 5=1244.1333333333334, 8=38395.00784313731, 9=3625.254901960786, 11=13.0, 10=41.51764705882353",
0000327ffb1fd782cc6b,USF,1.46917E+12,2,,1.47055E+12,SAND,41382.85938,,,2016,47,"1=5541.203921568628, 3=690.1450980392157, 7=1613.5764705882352, 6=3973.3450980392154, 5=8083.768627450979, 8=162566.4039215682, 9=2093.0666666666652, 10=96.21960784313725",
00003869b1a08bd56605,USF,1.25127E+12,7,,1.2536E+12,STATION,160833.1094,,,2009,40,"1=96443.66666666664, 3=827.5843137254905, 2=1318.6431372549018, 7=1033.164705882353, 6=11742.105882352946, 5=61390.8627450981, 8=543389.9529411754, 9=1163.3803921568624, 11=0.18823529411764706, 10=676.5607843137255",
00007fe5065a1605b5ec,CCO,1.51246E+12,14,,1.51246E+12,CREEK,15619.14648,,,2017,48,"1=56.21568627450981, 3=2834.5411764705873, 7=977.1490196078433, 6=2436.1058823529406, 5=163.62745098039215, 8=56940.50588235271, 9=5169.796078431372, 11=48.26274509803922, 10=38.31372549019608",
000041bab8473b06ab9f,Local Agency,,0,,,WOOLSEY,99997.48858,N,Mixed Methods,2018,49,"7=41210.45882352945, 6=37615.6549019608, 5=129.0, 8=300651.6078431368, 9=61620.70980392182, 11=45.0, 10=1237.3882352941175",
0000fcb5356e6935a886,USF,1.09039E+12,2,,1.09074E+12,CROWN,11754.26563,,,2004,35,"1=40.14509803921568, 3=9232.317647058826, 2=9244.03137254902, 7=992.8470588235294, 6=228.81176470588235, 4=3.1843137254901963, 5=155.38823529411764, 8=32089.615686274643, 9=738.1411764705883, 10=14.658823529411764",
0000ee11b02d4c364f20,USF,1.47133E+12,9,,1.47219E+12,BLUE CUT,36266.69531,,,2016,47,"1=2477.886274509804, 3=12629.494117647078, 2=3858.7019607843135, 7=959.6549019607844, 6=332.18823529411776, 4=3204.176470588235, 5=7037.894117647058, 8=126725.21176470548, 9=4067.498039215685, 11=88.0, 10=277.6313725490196",
00004c38530e9fb4f3b0,USF,1.03086E+12,9,,1.03199E+12,CURVE,20870.75,,,2002,33,"1=30831.788235294207, 3=132.42352941176472, 7=49.0, 6=176.10196078431375, 5=16600.341176470592, 8=44674.654901960734, 9=381.05490196078426, 10=30.0",
0000da9e38186ad20dda,USF,1.03268E+12,7,,1.03423E+12,WILLIAMS,38118.95313,,,2002,33,"1=4056.992156862745, 3=68.14117647058825, 7=193.25882352941176, 6=4603.815686274513, 5=22888.258823529428, 8=137155.18431372504, 9=1239.9686274509802, 10=906.3647058823527",
0000d9f5aa8a1e06cbd7,USF,1.06707E+12,7,,1.06785E+12,PADUA,10457.86035,,,2003,34,"1=1782.9490196078434, 3=3205.345098039216, 7=1631.5058823529412, 6=775.549019607843, 5=2542.7803921568616, 8=34439.50980392163, 9=1876.976470588235, 10=40.68627450980392",
0000ba0a315570dabedb,USF,1.06672E+12,7,,1.0688E+12,GRAND PRIX,50617.9375,,,2003,34,"1=9239.835294117645, 3=24682.815686274582, 7=5280.4352941176485, 6=1992.4078431372552, 5=33207.447058823534, 8=137269.356862745, 9=6862.164705882352, 10=2966.8470588235296",
00008d2e5760c75ffdde,USF,1.06707E+12,7,,1.06888E+12,OLD,91428,,,2003,34,"1=19090.968627451053, 3=13682.00784313728, 2=992.729411764706, 7=4081.2666666666682, 6=4561.325490196077, 4=1444.2784313725485, 5=53772.66274509796, 8=294329.9607843131, 9=11178.654901960845, 11=496.8078431372549, 10=4937.411764705883",
00006a09ba36ade1644a,USF,1.19304E+12,9,,1.19503E+12,SLIDE,12769.24805,,,2007,38,"1=14130.815686274507, 3=28.949019607843137, 7=1983.180392156863, 6=98.27843137254902, 5=9345.156862745102, 8=31336.35686274513, 9=157.3607843137255, 11=9.0, 10=50.68235294117647",
00008b975b1fd77baebc,USF,1.18975E+12,9,,1.19909E+12,BUTLER #2,13736.27051,,,2007,38,"1=6099.45490196078, 2=1008.5254901960783, 7=1858.176470588235, 6=505.74901960784314, 5=2024.1098039215667, 8=49886.36470588222, 9=0.8156862745098039, 11=93.0",
0000d8837816886dc64a,NPS,1.11942E+12,1,,1.12072E+12,WILDHORSE,63771.40625,,,2005,36,"3=53895.580392156524, 2=166895.4784313726, 8=7748.098039215686, 9=9.40392156862745, 4=58196.43529411768",
0000cd34dedb91c57c37,CDF,1.19295E+12,14,,1.19399E+12,HARRIS 2,90728.32813,,,2007,38,"1=995.4117647058818, 7=39882.25098039222, 6=12535.164705882362, 8=345712.68235293985, 9=5148.9411764705865, 11=44.33333333333333, 10=353.07450980392144",
0000723ea36382080427,BLM,1.06715E+12,9,,1.0675E+12,MINE/OTAY,44734.12891,,,2003,34,"1=12651.0, 7=23835.835294117696, 6=2107.8901960784324, 8=161163.09411764672, 9=1287.18431372549, 11=31.6078431372549, 10=24.388235294117646",
000069dc2ee15e73c9b4,USF,1.06707E+12,2,,1.06802E+12,CEDAR,270686,,,2003,34,"1=23995.729411764707, 3=29.0, 7=86107.61176470603, 6=72622.9333333334, 5=60197.01568627452, 8=884366.9803921529, 9=69396.36470588252, 11=5332.0, 10=8846.701960784314",
00008d00117160f6c2e2,USF,9.78509E+11,3,,9.79027E+11,VIEJAS,10438.01953,,,2001,32,"7=831.1529411764704, 9=327.7176470588234, 8=43734.19215686269, 6=1987.2392156862743, 10=45.79607843137254",
00002275382ad91e2145,USF,1.15364E+12,4,,1.15416E+12,HORSE,16677.61523,,,2006,37,"7=1724.7843137254908, 9=43.509803921568626, 8=71053.83137254864, 6=1953.337254901961, 11=11.0, 10=122.19607843137258",
0000e4b030c196fa05e8,CDF,1.02793E+12,11,,1.02905E+12,PINES,61691.23828,,,2002,33,"1=4548.850980392157, 3=14628.321568627442, 2=119.25098039215686, 7=6853.666666666664, 6=6625.003921568629, 4=731.4509803921569, 5=9097.180392156864, 8=232867.3803921563, 9=1128.388235294118, 11=90.29019607843138, 10=3.450980392156863",
