"","MAPMETHOD","AGENCY","COMPLEXNM","INCOMPLEX","FIRE_NAME","YEAR","GIS_ACRES","ALARM_DATE","CONT_DATE","CAUSE","YEARn"
"178",NA,"USF",NA,NA,"FRENCH","2014",13831.6386719,2014-07-27,2014-08-18,4,45
"179",NA,"USF",NA,NA,"BEAVER","2014",32493.3964844,2014-07-30,2014-10-08,1,45
"180",NA,"USF",NA,NA,"WHITES","2014",33794.4375,2014-07-30,2014-09-25,1,45
"181",NA,"USF",NA,NA,"FRYING PAN","2014",133177.375,2014-08-11,2014-09-30,1,45
"182",NA,"BLM",NA,NA,"COLEMAN","2014",15242.8681641,2014-07-01,2014-08-22,1,45
"183",NA,"DOD",NA,NA,"PULGAS-BASILONE COMPLEX","2014",15186.1425781,2014-05-19,NA,0,45
"184",NA,"NPS",NA,NA,"TEHIPITE","2008",11648.0917969,2008-07-19,2008-12-01,1,39
"185",NA,"NPS",NA,NA,"WILDHORSE","2005",63771.40625,2005-06-22,2005-07-07,1,36
"186",NA,"NPS",NA,NA,"READING","2012",28073.203125,2012-07-23,2012-11-13,14,43
"187",NA,"CDF",NA,NA,"BUTTE","2015",70846.53125,2015-09-10,2015-09-28,14,46
"188",NA,"CDF",NA,NA,"JERUSALEM","2015",25118.3769531,2015-08-09,2015-08-24,14,46
"189",NA,"CDF",NA,NA,"ROCKY","2015",69438.1640625,2015-07-29,2015-08-14,9,46
"190",NA,"CDF",NA,NA,"VALLEY","2015",76084.8359375,2015-09-12,2015-10-06,14,46
"191",NA,"BLM",NA,NA,"DODGE","2015",10517.5166016,2015-08-03,2015-08-17,2,46
"192",NA,"USF",NA,NA,"WASHINGTON","2015",17779.5390625,2015-07-19,2015-01-01,1,46
"193",NA,"USF",NA,NA,"LAKE","2015",31284.4414063,2015-06-17,2015-12-31,9,46
"194",NA,"USF",NA,NA,"ROUGH","2015",151546.8125,2015-07-31,2015-11-06,1,46
"195",NA,"USF",NA,NA,"BEAR","2015",11616.8808594,2015-07-31,2015-10-31,1,46
"196",NA,"USF",NA,NA,"PEAK","2015",11524.4648438,2015-08-01,2015-10-31,1,46
"197",NA,"USF",NA,NA,"PICKETT","2015",11012.8027344,2015-07-30,2015-09-01,1,46
"198",NA,"USF",NA,NA,"LASSICS","2015",18192.0332031,2015-07-30,2015-09-06,1,46
"199",NA,"USF",NA,NA,"BLAKE","2015",11439.2519531,2015-07-30,NA,1,46
"200",NA,"USF",NA,NA,"SHEILL","2015",15390.6484375,2015-07-30,2015-10-30,1,46
"201",NA,"USF",NA,NA,"HAPPY","2015",68095.2421875,2015-07-30,2015-08-08,1,46
