"","OBJECTID","YEAR_","STATE","AGENCY","UNIT_ID","FIRE_NAME","INC_NUM","ALARM_DATE","CONT_DATE","CAUSE","COMMENTS","REPORT_AC","GIS_ACRES","C_METHOD","OBJECTIVE","FIRE_NUM","Shape_Leng","Shape_Area"
"18158",18158,"1987","CA","NPS","CNP","E TWIN HARBOR","00000000",1987-02-25,1987-02-25,1,"Fire documented in TNC fire history for Santa Cruz Island. Should add to SACS",2,2.24529,5,0,"00000000",380.333564601,9086.35925319
"18159",18159,"2001","CA","NPS","CNP","FORD POINT","00000000",2001-06-26,2001-07-03,4,"Fire documented by CHIS 1202, perim from oblique air photo, accuracy +-100m?",32,36.2196,5,0,"00000001",1689.45732064,146575.58602
"18160",18160,"1994","CA","NPS","CNP","EAST POINT","00000000",1994-08-21,1994-08-23,2,"Ignit pt relocated from kms offshore to East Pt. Loc, perim conjectural +-600m",4,4.01972,6,0,"00000001",452.137422266,16267.2349915
"18161",18161,"2002","CA","NPS","YNP","WOLF","00000000",2002-07-11,2002-11-09,1,NA,2108,1875.44,1,1,"00001935",25343.1420287,7589642.8825
"18162",18162,"1987","CA","NPS","KNP","HALSTEAD3","00000000",1987-06-01,1987-09-30,1,NA,750,981.172,8,2,"00000032",12126.2324594,3970664.24905
"18163",18163,"1987","CA","NPS","KNP","ASH MTN","00000000",1987-06-26,1987-06-27,7,NA,90,89.4176,8,1,"00000042",4022.98819788,361860.274036
"18164",18164,"1987","CA","NPS","KNP","KAWEAH","00000000",1987-07-28,1987-08-03,7,NA,160,149.694,8,1,"00000067",4382.04452702,605791.587977
"18165",18165,"1987","CA","NPS","KNP","FUNSTON","00000000",1987-07-19,1987-11-15,1,NA,50,62.9641,8,2,"00000062",2701.93609348,254806.683724
"18166",18166,"1987","CA","NPS","KNP","SODA CREE","00000000",1987-09-26,1987-11-13,1,NA,260,175.757,8,2,"00000117",5339.42918563,711261.472279
"18167",18167,"1987","CA","NPS","KNP","COFFEE","00000000",1987-09-29,1987-09-10,1,NA,240,196.193,8,1,"00000081",5163.07900735,793964.227194
"18168",18168,"1987","CA","NPS","KNP","LAUREL","00000000",1987-06-28,1987-07-25,1,NA,12,5.33977,8,2,"00000046",719.975275919,21609.2862588
"18169",18169,"1988","CA","NPS","KNP","SIMPSON","00000000",1988-07-21,1988-08-31,1,NA,580,980.59,8,2,"00000059",13989.0824053,3968306.56672
"18170",18170,"1988","CA","NPS","KNP","DOG","00000000",1988-08-12,1988-09-03,1,NA,0.2,10.2326,8,2,"00000084",960.459477433,41410.0082258
"18171",18171,"1988","CA","NPS","KNP","GNAT","00000000",1988-08-18,1988-09-30,1,NA,10,7.78513,8,1,"00000087",780.15578806,31505.2843151
"18172",18172,"1988","CA","NPS","KNP","TOMBSTONE","00000000",1988-05-23,1988-07-25,1,NA,220,207.088,8,2,"00000002",5036.83990053,838056.896256
"18173",18173,"1988","CA","NPS","KNP","LEWIS CR","00000000",1988-07-23,1988-08-09,1,NA,40,33.8099,8,2,"00000054",1680.44357221,136823.612234
"18174",18174,"1988","CA","NPS","KNP","SUGARBABY","00000000",1988-06-20,1988-08-14,1,NA,11,6.89614,8,2,"00000018",900.388502046,27907.6699958
"18175",18175,"1988","CA","NPS","KNP","BUCKEYE","00000000",1988-10-16,1988-10-23,3,NA,3075,3090.18,8,1,"00000140",23043.3317537,12505522.5778
"18176",18176,"1988","CA","NPS","KNP","CASTLE","00000000",1988-07-22,1988-07-25,1,NA,10,4.22637,8,1,"00000055",720.603888072,17103.5019982
"18177",18177,"1988","CA","NPS","KNP","FUNSTON","00000000",1988-07-18,1988-08-14,1,NA,80,101.676,8,2,"00000037",3179.34672484,411469.887696
"18178",18178,"1934","CA","NPS","YNP","NORTH MOUNTAIN",NA,NA,NA,1,"20090305",0,1692.82,8,1,"00000027",15801.6101313,6850607.57579
"18179",18179,"1998","CA","NPS","YNP","TRAIL",NA,NA,NA,1,"20090305",0,49.7788,8,1,"00000121",1804.98293893,201447.781085
"18180",18180,"1989","CA","NPS","YNP",NA,"00000000",NA,NA,1,NA,0,7.99396,0,1,"00000096",639.554003623,32350.4093947
"18181",18181,"1989","CA","NPS","YNP",NA,"00000000",NA,NA,1,NA,0,10.9938,0,1,"00000127",748.230589819,44490.3100802
"18182",18182,"1992","CA","NPS","KNP","ELLIS MDW","00000000",1992-06-02,1992-09-20,1,NA,123,56.5039,8,2,"00000017",2461.16259442,228663.312005
"18183",18183,"1992","CA","NPS","KNP","SUWANEE W","00000000",1992-10-09,1992-10-15,18,NA,364,196.636,8,1,"00000095",8824.78340503,795756.050579
"18184",18184,"1992","CA","NPS","KNP","CHAGOOPA","00000000",1992-06-14,1992-09-20,1,NA,70,70.9718,8,2,"00000024",3242.39271558,287212.704981
"18185",18185,"1992","CA","NPS","KNP","CHAGOOPA","00000000",1992-07-15,1992-09-20,1,NA,562,592.034,8,2,"00000041",14709.2839777,2395875.20978
"18186",18186,"1992","CA","NPS","KNP","DINELY","00000000",1992-05-11,1992-05-11,15,NA,70,38.257,8,1,"00000009",2400.19646962,154820.615053
"18187",18187,"1992","CA","NPS","KNP","RATTLESNA","00000000",1992-07-16,1992-10-18,1,NA,268,266.085,8,2,"00000042",10080.1059835,1076809.03982
"18188",18188,"1993","CA","NPS","KNP","LE CONTE","00000000",1993-09-07,1993-09-11,14,NA,200,181.882,8,1,"00000062",4030.28203755,736051.231111
"18189",18189,"1993","CA","NPS","KNP","PALISADES","00000000",1993-09-08,1993-09-22,4,NA,2,0.931173,8,1,"00000063",270.957464643,3768.32268682
"18190",18190,"1993","CA","NPS","KNP","BUCK PEAK","00000000",1993-06-22,1993-11-16,1,NA,2170,2017.34,8,2,"00000018",21678.4777533,8163867.93051
"18191",18191,"1993","CA","NPS","KNP","HELIPORTW","00000000",1993-11-08,1993-11-11,18,NA,63,51.3271,8,1,"00000081",1992.90564832,207713.293769
"18192",18192,"1993","CA","NPS","KNP","DEER RIDG","00000000",1993-09-01,1993-09-02,10,NA,8,1.48009,8,1,"00000060",327.357079317,5989.71642942
"18193",18193,"1993","CA","NPS","KNP","NORTHFORK","00000000",1993-07-17,1993-07-17,7,NA,2,2.77907,8,1,"00000029",458.260496687,11246.4956056
"18194",18194,"1995","CA","NPS","KNP","CASTLE WF","00000000",1995-11-09,1995-12-11,18,NA,1600,1646.57,8,1,"00000079",18185.8770764,6663420.24357
"18195",18195,"1995","CA","NPS","KNP","EDEN GROV","00000000",1995-08-08,1995-08-12,1,NA,1.5,1.11222,8,1,"00000036",419.938548335,4501.0124804
"18196",18196,"1996","CA","NPS","KNP","RATTLESNA","00000000",1996-07-13,1996-08-27,1,NA,4,7.12705,8,2,"00000059",871.875079571,28842.1304344
"18197",18197,"1996","CA","NPS","KNP","DORST","00000000",1996-06-27,1996-11-18,1,NA,1400,1459.86,8,2,"00000033",17681.0562351,5907841.18061
"18198",18198,"1996","CA","NPS","KNP","CASTLE CO","00000000",1996-07-26,1996-11-05,1,NA,1460,2692.6,8,1,"00000072",15963.3261866,10896572.1572
"18199",18199,"1996","CA","NPS","KNP","HOSPITAL","00000000",1996-07-28,1996-08-10,4,NA,295,295.157,8,1,"00000075",6629.62697957,1194456.26104
"18200",18200,"1996","CA","NPS","KNP","KAWEAH","00000000",1996-08-13,1996-08-25,10,NA,2917,4654.87,8,1,"00000088",24169.6690626,18837599.4783
"18201",18201,"1996","CA","NPS","KNP","CASTLE","00000000",1996-07-11,1996-11-05,1,NA,57,58.965,8,2,"00000051",4225.9766017,238622.825891
"18202",18202,"1996","CA","NPS","KNP","BIG ARROY","00000000",1996-08-02,1996-11-05,1,NA,3500,3496.58,8,2,"00000082",19739.5661675,14150170.3903
"18203",18203,"1996","CA","NPS","KNP","PALMER","00000000",1996-07-12,1996-07-16,1,NA,4,7.38187,8,1,"00000055",860.504789878,29873.3630174
"18204",18204,"1997","CA","NPS","KNP","SUGARLOAF","00000000",1997-08-15,1997-10-26,1,NA,272,280.475,8,2,"00000043",9873.38851479,1135043.85583
"18205",18205,"1997","CA","NPS","KNP","AMPHITHEA","00000000",1997-09-23,1997-09-30,18,NA,237,242.722,8,1,"00000063",7738.20897235,982260.656561
"18206",18206,"1998","CA","NPS","KNP","LOOKOUT2","00000000",1998-10-20,1998-10-25,18,NA,43,32.7021,8,1,"00000095",2004.79874241,132340.552985
"18207",18207,"1995","CA","NPS","YNP","BRIDAL","00000000",NA,NA,9,NA,0,161.269,0,1,"00000110",4342.16946171,652632.959836
"18208",18208,"1952","CA","NPS","KNP","MINERAL K","00000000",1952-09-28,1952-09-29,1,NA,45,42.0448,8,1,"00002047",2100.79411289,170149.414013
"18209",18209,"1952","CA","NPS","KNP","HOMERS NO","00000000",1952-09-19,1952-09-19,1,NA,17,22.2442,8,1,"00002039",1560.22252848,90018.9568909
"18210",18210,"1953","CA","NPS","KNP","KETTLE DO","00000000",1953-06-15,1953-07-06,1,NA,13,22.9114,8,1,"00003001",1560.53209088,92718.9578437
"18211",18211,"1953","CA","NPS","KNP","TOMBSTONE","00000000",1953-07-01,1953-07-01,1,NA,400,403.491,8,1,"00003023",6243.38012259,1632871.36627
"18212",18212,"1953","CA","NPS","KNP","HOTEL CR","00000000",1953-08-14,1953-08-15,1,NA,0.1,14.4596,8,1,"00003010",1140.07230975,58515.9839841
"18213",18213,"2000","CA","NPS","KNP","CONIFER","00000000",2000-01-01,2000-01-20,18,NA,5,4.83474,8,1,"00000003",581.304956966,19565.4812443
"18214",18214,"2001","CA","NPS","KNP","BURNT","00000000",2001-07-30,2001-12-17,1,NA,2213,2213.31,7,2,"00000064",22489.4620548,8956935.80701
"18215",18215,"2001","CA","NPS","KNP","KENNEDY","00000000",2001-07-17,2001-12-17,1,NA,10,9.36134,2,2,"00000059",829.800748265,37884.0149682
"18216",18216,"2001","CA","NPS","KNP","TAR","00000000",2001-09-04,2001-11-02,1,NA,508,508.64,8,2,"00000091",11509.7676551,2058391.29084
"18217",18217,"2002","CA","NPS","KNP","PALISADE","00000000",2002-08-26,2002-11-10,1,NA,1497,1497.77,2,2,"00000068",16779.4673475,6061277.50551
"18218",18218,"2002","CA","NPS","KNP","SLIDE","00000000",2002-08-06,2002-11-10,1,NA,70,61.9311,2,2,"00000056",3577.75594033,250626.092816
"18219",18219,"2002","CA","NPS","KNP","RIVER","00000000",2002-06-30,2002-07-01,7,NA,1.5,1.0946,1,1,"00000029",329.945049666,4429.68688479
"18220",18220,"2002","CA","NPS","KNP","CIRCLE","00000000",2002-06-01,2002-08-08,1,NA,8.6,8.62519,1,2,"00000010",1704.33752427,34904.8984456
"18221",18221,"1989","CA","NPS","KNP","CHAMISE","00000000",1989-06-29,1989-07-01,14,NA,203,276.341,6,1,"00000018",6785.01903132,1118311.89025
"18222",18222,"1989","CA","NPS","KNP","SKY PARLO","00000000",1989-07-09,1989-07-11,1,NA,10,10.6791,8,1,"00000029",1200.48074006,43216.80846
"18223",18223,"1989","CA","NPS","KNP","LAUREL 4","00000000",1989-07-08,1989-07-12,1,NA,23,27.1427,8,1,"00000025",1620.09683109,109842.464243
"18224",18224,"1990","CA","NPS","KNP","STAG","00000000",1990-08-09,1990-08-14,1,NA,23,29.1405,8,1,"00000066",1739.57151542,117927.424813
"18225",18225,"1990","CA","NPS","KNP","AVALANCHE","00000000",1990-07-13,1990-10-29,1,NA,2800,2787.01,8,2,"00000030",19624.763461,11278626.3835
